"","csa_code_origin","csa_code_dest","CarrID","yearq","Segid","seg_entry_tplus1","Dist","Dist_sq","pop_origin","pop_dest","ln2002pssgrdens","seg_entry_t","nonstop_comps","orig_share","dest_share","any_origin","any_dest","scheduled_flights","fstseats","busseats","ecoseats","scheduled_aircraft_max_take_off_weight","scheduled_aircraft_hold_volume","scheduled_aircraft_range_stat_miles","capacity_t","capacity_tplus1"
"102",1,10,6,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.0612133022615695,0.0163721394238338,1,1,0,0,0,0,0,0,0,0,0
"103",1,10,7,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.0277575708511389,0.0613194274024541,1,1,0,0,0,0,0,0,0,0,0
"104",1,10,8,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.131846437637698,0.190311563957403,1,1,0,0,0,0,0,0,0,0,0
"105",1,10,9,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",1,10,10,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.0291488611196244,0.105456530138041,1,1,0,0,0,0,0,0,0,0,0
"107",1,10,11,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.000485737250842812,0.13216290471152,1,1,0,0,0,0,0,0,0,0,0
"108",1,10,12,15,9,0,1.96881762763535,3.87624285088768,817973,4473477,7.31721240835984,0,3,0.527414663482389,0.147678127047642,1,1,0,0,0,0,0,0,0,0,0
"109",1,11,1,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0.122288978968734,0.000142937001577968,1,1,0,0,0,0,0,0,0,0,0
"110",1,11,2,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",1,11,3,15,10,0,1.58468802522484,2.51123613729101,817973,1130913,0,0,0,0,0.149146977448504,0,1,0,0,0,0,0,0,0,0,0
